,Shares,Cost(Euro/share),Profit(% post 2 years)
26077,Share-Dspe9A,540.9,11
26078,Share-UFn7UD,84.3,6
26079,Share-Y65x7r,395.4,17
26080,Share-HsZ1H9,500.8,8
26081,Share-5unwY7,224.5,15
26082,Share-t1PvnW,325.7,8
26083,Share-4eZi30,518.5,12
26084,Share-pVgPkp,117.3,16
26085,Share-2vW3wR,738.5,8
26086,Share-dlcAuR,670.1,2
26087,Share-HJo7hY,300.8,18
26088,Share-NiyaJ9,124.9,2
26089,Share-RzHiom,677.6,14
26090,Share-yFZzsQ,296.6,13
26091,Share-b5CjLJ,502.5,13
26092,Share-1mItSO,991.8,1
26093,Share-fVhb8i,385.4,7
26094,Share-XwCS7L,436.7,18
26095,Share-P8ZX9d,736.8,1
26096,Share-nkRLdN,562.6,16
26097,Share-2Q7hIk,34.6,7
26098,Share-wYieo9,365.1,4
26099,Share-6IACIi,171.6,1
26100,Share-munzaz,178.5,1
26101,Share-YvKYyn,519.1,13
26102,Share-GnUJ94,613.5,13
26103,Share-tV8S3d,363.8,18
26104,Share-hAON1N,28.4,9
26105,Share-rWoweg,799.5,17
26106,Share-a4bdLz,965.7,1
26107,Share-nCELGf,254.1,13
26108,Share-RRydLE,777.8,15
26109,Share-hRfAG9,76.0,19
26110,Share-BbJ7UF,44.6,2
26111,Share-7QHPku,942.0,4
26112,Share-IRjBc0,975.9,1
26113,Share-rHJ8nm,878.9,11
26114,Share-a7l60I,162.5,5
26115,Share-f2lNEU,146.1,2
26116,Share-HZaS2h,657.0,6
26117,Share-K7AAoR,295.8,5
26118,Share-WQMvMD,529.3,11
26119,Share-2k6TF6,433.8,7
26120,Share-D9bkD5,742.3,5
26121,Share-nRKwKD,472.0,2
26122,Share-tsbFI3,622.7,1
26123,Share-2Tfpqz,776.8,15
26124,Share-cza07v,707.8,16
26125,Share-QT9Gl7,404.8,14
26126,Share-o1VeQP,100.0,5
26127,Share-sMa5Pt,672.2,7
26128,Share-GQDvOH,849.5,5
26129,Share-uYhr7n,302.9,8
26130,Share-ZbiImI,22.7,6
26131,Share-tSzlhh,203.2,5
26132,Share-mtfhZZ,998.2,8
26133,Share-A9osCk,663.0,13
26134,Share-WbjAyh,689.4,4
26135,Share-oa2fEg,703.7,11
26136,Share-neK7ne,604.6,19
26137,Share-W6HZdR,198.2,15
26138,Share-YdKc6k,786.4,5
26139,Share-Q7pwDI,525.5,5
26140,Share-AmE4V5,106.9,6
26141,Share-aX4nxt,224.9,16
26142,Share-duWwKo,903.5,9
26143,Share-TRdL4G,509.0,16
26144,Share-9vnAnx,882.0,10
26145,Share-0jAJaV,253.9,16
26146,Share-n10jWH,757.3,4
26147,Share-npPWEp,898.8,15
26148,Share-NDW71j,802.5,11
26149,Share-g6px9h,568.7,10
26150,Share-83kKMq,909.7,1
26151,Share-Jpbq5M,268.0,1
26152,Share-vXq7p9,133.7,1
26153,Share-btsjo4,453.3,6
26154,Share-sWu5Ow,276.9,4
26155,Share-xAiIyU,830.4,3
26156,Share-EYgMaL,793.8,4
26157,Share-wjCl08,363.9,10
26158,Share-D0Upir,160.7,4
26159,Share-qEFPiP,602.0,4
26160,Share-HTwQEb,665.9,1
26161,Share-r6xwEj,473.8,9
26162,Share-zSWcbf,276.3,14
26163,Share-Jpo5Z2,929.0,9
26164,Share-EL0AME,196.0,18
26165,Share-omUVR8,110.6,18
26166,Share-OE5lor,936.0,15
26167,Share-cs8ONP,315.6,8
26168,Share-5scd0K,667.7,14
26169,Share-7z9EkR,786.7,6
26170,Share-rnUWEn,567.0,15
26171,Share-F4P4sd,173.4,11
26172,Share-0PkSOz,837.7,7
26173,Share-rbmBbl,149.9,3
26174,Share-uWLV3d,384.0,19
26175,Share-Fsa2Ls,255.8,15
26176,Share-5c3LPs,794.7,11
26177,Share-1UDUvD,595.6,14
26178,Share-4MT6VE,977.3,17
26179,Share-NrdKaY,952.7,3
26180,Share-apnTyE,38.8,6
26181,Share-xEYPlK,129.2,3
26182,Share-oFuZv5,388.7,3
26183,Share-NNJoKh,827.6,16
26184,Share-sjw9Of,142.4,6
26185,Share-aHiwa4,911.0,10
26186,Share-G6CQei,987.3,11
26187,Share-tKWD8y,306.6,8
26188,Share-JARc22,501.3,15
26189,Share-nIvuiU,749.4,4
26190,Share-R01JOQ,647.7,1
26191,Share-PsAn4J,788.9,14
26192,Share-iEhKK4,874.4,17
26193,Share-jSuL0B,809.2,6
26194,Share-8OxhLm,243.5,19
26195,Share-oNI4gb,684.4,19
26196,Share-pj9Zem,249.3,1
26197,Share-lS2nXx,946.6,5
26198,Share-T7DKTX,489.1,18
26199,Share-c7XUrf,994.0,10
26200,Share-m2rbhJ,680.7,3
26201,Share-ZyWrAk,130.8,12
26202,Share-BPRurl,845.1,17
26203,Share-YXISkg,567.2,4
26204,Share-dVrzaZ,958.1,7
26205,Share-S7R4In,62.0,19
26206,Share-H800hv,0.4,17
26207,Share-zZbzmK,865.8,19
26208,Share-vDMNJ9,84.9,15
26209,Share-wjn8cY,756.4,6
26210,Share-mbTKuC,752.2,1
26211,Share-XzEsAG,116.4,9
26212,Share-40MhuO,673.8,1
26213,Share-lNe5ip,595.5,11
26214,Share-PJTXFl,188.3,15
26215,Share-yiMGNi,372.5,8
26216,Share-GVRRqQ,32.1,14
26217,Share-r8CmPg,912.0,7
26218,Share-KSVZoV,18.4,15
26219,Share-c7O0aV,900.8,14
26220,Share-xRWved,26.9,18
26221,Share-x1OCpi,818.2,11
26222,Share-cqOT7b,550.2,3
26223,Share-XqpGiN,53.6,15
26224,Share-aY0G5E,911.3,10
26225,Share-vvpexL,947.6,5
26226,Share-LNsP4g,792.4,5
26227,Share-iEgXAW,148.4,2
26228,Share-zsemRN,988.3,9
26229,Share-oUStQj,649.6,11
26230,Share-Oxo36Z,696.1,17
26231,Share-WIZDlV,709.3,4
26232,Share-qRtC6R,64.9,1
26233,Share-OovV07,214.9,9
26234,Share-mJaEb7,314.3,2
26235,Share-RBbNYx,619.5,18
26236,Share-GLPKrQ,944.2,2
26237,Share-hXBN5Q,710.3,7
26238,Share-6rrP1S,398.5,14
26239,Share-TSzQnI,136.5,4
26240,Share-PYCGFn,130.3,10
26241,Share-rsBvtW,191.2,19
26242,Share-jfnNRp,404.4,8
26243,Share-YTlbPr,992.8,6
26244,Share-1wWeku,401.4,16
26245,Share-Q65162,12.7,2
26246,Share-dtSLAk,858.0,12
26247,Share-4Zsu91,742.1,14
26248,Share-75Bulv,619.5,13
26249,Share-0GhIO2,126.1,6
26250,Share-1XSObD,38.6,4
26251,Share-CHVqPL,915.1,4
26252,Share-tG7s6X,460.3,17
26253,Share-XtAh9K,150.0,11
26254,Share-kN9HEd,480.8,19
26255,Share-5VBs44,941.5,18
26256,Share-AyVmE7,526.9,19
26257,Share-4CDFoA,904.1,8
26258,Share-rn1fKp,93.1,13
26259,Share-9mkMQJ,778.7,15
26260,Share-2LOeq3,53.7,3
26261,Share-ZXIEtu,220.8,7
26262,Share-FnM2lo,635.4,1
26263,Share-pLypq9,107.7,5
26264,Share-DfaFTg,10.3,4
26265,Share-hV7vtP,669.5,19
26266,Share-ewKAnB,757.7,7
26267,Share-0SA0Gm,867.3,7
26268,Share-3AqSc2,206.0,2
26269,Share-LQT2ES,80.4,11
26270,Share-8KRVRl,161.3,8
26271,Share-OrGHtY,861.8,7
26272,Share-41RrEQ,544.2,13
26273,Share-sXNLXW,0.0,1
26274,Share-wkH6uk,538.4,12
26275,Share-FNc02I,10.1,5
26276,Share-K8slrv,469.5,14
26277,Share-XLdAmf,801.3,10
26278,Share-zL3RGY,805.4,5
26279,Share-zommxd,31.3,14
26280,Share-1xLGxj,574.6,8
26281,Share-TosETQ,738.6,11
26282,Share-wDysfl,286.6,5
26283,Share-wXxaW9,365.6,12
26284,Share-IKf7jR,642.3,5
26285,Share-H30ibK,700.9,2
26286,Share-fcvGAF,362.0,11
26287,Share-5avzX3,364.4,10
26288,Share-owf3Hx,923.1,18
26289,Share-xdz8e2,95.4,1
26290,Share-lSwmX5,272.3,8
26291,Share-ODySUN,720.0,10
26292,Share-egozw4,986.2,7
26293,Share-3b1yAl,105.0,6
26294,Share-VgaXZC,386.4,15
26295,Share-CJ2IWb,587.8,5
26296,Share-Zgu9qF,662.8,17
26297,Share-jaSBym,171.1,6
26298,Share-h7d8NC,944.1,13
26299,Share-cmEMV8,976.4,5
26300,Share-Qg45fp,432.5,9
26301,Share-SAduKt,615.0,8
26302,Share-uBCrmq,882.5,3
26303,Share-nWaEQF,979.3,13
26304,Share-kcRP8x,355.1,3
26305,Share-tSQb3s,772.4,18
26306,Share-jLf190,788.9,4
26307,Share-CLnhPS,751.2,10
26308,Share-fU7PZB,878.8,1
26309,Share-PfeIS0,44.0,14
26310,Share-yfzFLZ,933.5,2
26311,Share-vtiARl,208.4,15
26312,Share-vIwZ42,316.6,11
26313,Share-6213ed,629.3,11
26314,Share-NauhQH,198.0,13
26315,Share-niUC02,931.4,11
26316,Share-k2e2Ty,992.6,5
26317,Share-jxltCC,176.0,1
26318,Share-dwQRVM,960.5,11
26319,Share-YwXBZi,441.7,9
26320,Share-NR1jkd,810.8,3
26321,Share-wO5XTx,877.8,19
26322,Share-K7KxSf,30.8,6
26323,Share-6aVGab,553.9,3
26324,Share-NRev6w,173.0,4
26325,Share-Fw0d3t,371.6,1
26326,Share-Gl0Tsa,688.1,17
26327,Share-eOtTeq,545.6,17
26328,Share-ux6NAo,377.7,8
26329,Share-GkkDnd,520.8,14
26330,Share-au3062,162.4,14
26331,Share-pvDZae,808.4,9
26332,Share-6XiLDa,491.5,16
26333,Share-OxgVPO,884.6,11
26334,Share-Zt73f1,800.5,13
26335,Share-5FX0mK,551.5,1
26336,Share-H1MGfc,595.6,19
26337,Share-t4qcbA,84.8,9
26338,Share-LffNVG,507.8,19
26339,Share-q5hxHw,112.9,14
26340,Share-XCBF9Y,466.7,12
26341,Share-JmSLDa,577.9,8
26342,Share-jvykR7,713.5,6
26343,Share-ACehGc,166.8,8
26344,Share-CcKstD,539.0,7
26345,Share-L2oSiS,589.9,12
26346,Share-sJxeIN,834.1,5
26347,Share-zA1fI7,70.0,1
26348,Share-ihcMNU,552.9,2
26349,Share-0tmq5O,298.5,14
26350,Share-9tZb4Y,777.1,4
26351,Share-ht5IMI,712.4,17
26352,Share-m5xPjq,341.7,14
26353,Share-Hwc23E,576.0,18
26354,Share-B05rRT,832.6,3
26355,Share-fuJUad,286.8,10
26356,Share-VAOnzK,293.3,10
26357,Share-IjJQSE,374.7,6
26358,Share-R5NknK,178.3,8
26359,Share-1m35vi,632.3,6
26360,Share-MUDep3,480.1,10
26361,Share-YQMjY9,705.6,4
26362,Share-qBX9jI,966.3,10
26363,Share-decAsa,696.7,10
26364,Share-4qHRTI,598.8,4
26365,Share-BnLPH7,743.2,4
26366,Share-aofwp3,264.5,6
26367,Share-aCfWUE,113.0,6
26368,Share-LhhJEC,423.1,14
26369,Share-8Kgbyz,854.3,2
26370,Share-3AG6B0,563.9,10
26371,Share-daDHVa,109.7,1
26372,Share-8zi8qc,780.3,4
26373,Share-RsCybs,704.7,10
26374,Share-YgRabn,592.1,5
26375,Share-gm5kBl,938.9,11
26376,Share-g9eeds,500.7,15
26377,Share-oBxOWq,844.5,19
26378,Share-sZ0Wk8,150.4,17
26379,Share-78h4VI,799.1,15
26380,Share-Ov7I53,519.0,17
26381,Share-o08eez,536.2,8
26382,Share-RLQKot,482.2,6
26383,Share-RhgmlK,278.2,16
26384,Share-NM1xp2,988.8,3
26385,Share-ijCnnO,366.0,8
26386,Share-rmJTMh,964.0,5
26387,Share-1BJCpH,764.7,3
26388,Share-cCLStl,439.6,7
26389,Share-wDR1DM,78.0,1
26390,Share-3FNean,672.0,18
26391,Share-5VTyip,431.2,19
26392,Share-gFwsjq,116.2,13
26393,Share-32jMuX,241.8,5
26394,Share-3HyKQT,394.6,16
26395,Share-1q3s4A,181.5,14
26396,Share-jAC86D,471.6,1
26397,Share-LzSWp1,206.9,5
26398,Share-YnEe3s,256.3,8
26399,Share-LcipTw,673.8,19
26400,Share-uSvkbh,915.1,8
26401,Share-e3qnEp,193.0,7
26402,Share-NrGmju,787.1,10
26403,Share-IyfjJd,127.1,15
26404,Share-BJXbT3,586.3,4
26405,Share-OK0P9D,425.9,11
26406,Share-bnkujK,75.0,17
26407,Share-w2ZbGv,471.4,13
26408,Share-RS8mve,686.5,4
26409,Share-rfkhF2,45.3,18
26410,Share-tFFiEO,175.4,9
26411,Share-9OuhM1,647.9,14
26412,Share-3apTpu,380.6,13
26413,Share-OAEyIO,233.8,2
26414,Share-swwFro,751.9,13
26415,Share-OGHEEy,523.4,14
26416,Share-CETKRj,452.8,16
26417,Share-n8J3BB,128.1,19
26418,Share-KCICyb,72.2,9
26419,Share-ZTjYJf,149.7,5
26420,Share-eMQoRo,499.6,14
26421,Share-DiUKmd,364.9,17
26422,Share-48ydsQ,200.5,8
26423,Share-WsEdae,157.8,10
26424,Share-Cq8jee,949.2,14
26425,Share-zJBOVL,410.0,14
26426,Share-iYmZn9,382.1,16
26427,Share-fxyqhT,849.3,19
26428,Share-nmU1mO,896.1,1
26429,Share-B79ur0,448.2,4
26430,Share-WhFhoR,900.8,10
26431,Share-7Dj9xb,323.3,16
26432,Share-8Iwccy,547.6,3
26433,Share-bs2Mn1,57.7,18
26434,Share-Q9t7SC,567.5,11
26435,Share-xP5bv5,723.8,6
26436,Share-XNRCRk,571.5,6
26437,Share-Tn6AEO,376.7,1
26438,Share-nWUkz3,985.4,14
26439,Share-oN0yEj,429.4,13
26440,Share-Z8jpAU,964.5,14
26441,Share-N5NHWr,879.1,14
26442,Share-QhPsi5,228.3,3
26443,Share-i6QPsz,947.8,10
26444,Share-i8EHfp,745.7,16
26445,Share-a50spj,448.7,17
26446,Share-Z0fahH,163.0,8
26447,Share-hUltdZ,130.4,16
26448,Share-MM90YH,468.0,6
26449,Share-czPg7H,211.0,2
26450,Share-oWs08C,735.4,8
26451,Share-8uv1GT,44.9,15
26452,Share-TFYjrJ,933.3,10
26453,Share-iSVgiW,108.9,9
26454,Share-KcQiBu,408.6,1
26455,Share-9yQMGW,289.6,12
26456,Share-SfstqI,635.0,11
26457,Share-Y807pT,3.9,12
26458,Share-jUQ4Zc,428.9,4
26459,Share-YieDI1,222.3,9
26460,Share-vnCQln,298.6,17
26461,Share-KvAQc2,62.5,8
26462,Share-qpBHEp,480.7,18
26463,Share-8ABnL1,298.4,11
26464,Share-m8PM4B,964.0,11
26465,Share-PpJQAH,123.2,3
26466,Share-VVdIGd,969.3,8
26467,Share-AHSeJh,161.9,19
26468,Share-vYi0c8,759.8,7
26469,Share-431Fcd,424.0,14
26470,Share-cRkia4,180.4,19
26471,Share-2o4qhj,455.4,5
26472,Share-heraPJ,495.7,13
26473,Share-ma2Qt2,94.9,3
26474,Share-6kF4Th,988.5,13
26475,Share-2v8JLA,710.8,11
26476,Share-g9cz3w,390.2,14
26477,Share-GjL7Ni,226.5,14
26478,Share-h7YClh,127.7,17
26479,Share-dGJpjg,492.3,9
26480,Share-HGoIxz,260.2,10
26481,Share-OmdrF6,700.1,5
26482,Share-xl656A,601.5,17
26483,Share-xqZ2HF,953.3,15
26484,Share-V2NYkW,553.4,11
26485,Share-8813aR,969.9,19
26486,Share-QHix9H,627.4,13
26487,Share-G0nU4u,337.0,3
26488,Share-d1zx3n,296.7,4
26489,Share-kgdc1D,822.4,1
26490,Share-e400Q6,957.2,18
26491,Share-MyikeX,916.5,9
26492,Share-oIeo5T,461.9,14
26493,Share-mKkDOE,248.8,13
26494,Share-vMAMPP,97.7,15
26495,Share-YC1kyY,15.2,18
26496,Share-ivo98P,141.2,18
26497,Share-S0UauY,1.5,3
26498,Share-OU9s9F,17.2,1
26499,Share-RmAO0M,758.1,1
26500,Share-S8M1ky,946.2,10
26501,Share-38NE3s,444.3,9
26502,Share-d8EaDP,236.8,3
26503,Share-zg3cj2,702.4,10
26504,Share-sZrJgt,945.0,10
26505,Share-Kkiwog,661.5,5
26506,Share-4GIbib,988.1,17
26507,Share-btbGcd,967.4,6
26508,Share-NCoZut,425.2,8
26509,Share-wQkLjs,549.1,12
26510,Share-T2RY4I,849.2,1
26511,Share-tvgOS3,369.4,16
26512,Share-4c6ANy,931.7,13
26513,Share-R97BMq,184.4,11
26514,Share-QWhiCZ,926.0,17
26515,Share-MYzBfH,727.2,9
26516,Share-MV1cCT,779.2,7
26517,Share-yJGMnd,183.0,18
26518,Share-KwICDc,663.1,4
26519,Share-7thiO6,200.7,15
26520,Share-V0FPlo,348.0,13
26521,Share-FOjxJP,506.5,7
26522,Share-Uhp62g,572.3,3
26523,Share-9QJ53I,226.8,3
26524,Share-LAIkWI,999.1,12
26525,Share-vPfxp7,645.0,3
26526,Share-UK07uO,440.1,5
26527,Share-BAtgkI,495.5,3
26528,Share-u8hiR4,952.9,7
26529,Share-JeyVXl,364.1,10
26530,Share-fK8lzV,89.9,9
26531,Share-XsWmgZ,687.3,11
26532,Share-xNJAHH,489.1,12
26533,Share-SPiI1x,671.9,11
26534,Share-dK02Ql,568.4,8
26535,Share-cxzHnO,851.4,11
26536,Share-n3vH4B,439.5,15
26537,Share-zZpFQi,107.8,19
26538,Share-hU7PV7,742.0,8
26539,Share-2FaiNX,113.0,3
26540,Share-nRvTAS,85.3,11
26541,Share-DQ6hYI,522.1,6
26542,Share-Osw1jA,168.5,18
26543,Share-8DsV7U,403.2,17
26544,Share-2T9h65,1.8,16
26545,Share-7WmmlH,24.3,19
26546,Share-I6rNj0,493.0,6
26547,Share-6eAv7e,710.5,19
26548,Share-uodcyN,153.0,10
26549,Share-JTkVpb,38.8,8
26550,Share-QkdVcu,607.9,3
26551,Share-9hPiq1,900.3,16
26552,Share-DxaFYp,572.9,4
26553,Share-pS4aLj,982.9,12
26554,Share-kEH5IE,11.8,2
26555,Share-HRQxLr,222.8,1
26556,Share-HHg0mV,433.1,8
26557,Share-AGrU8H,713.1,11
26558,Share-jefpGJ,84.2,15
26559,Share-p1m5Wi,483.0,6
26560,Share-HATa18,363.3,15
26561,Share-G0xkOv,314.5,16
26562,Share-PCKAnG,774.9,19
26563,Share-TccS9e,868.1,7
26564,Share-kZhTCt,678.8,5
26565,Share-PXXRAR,646.5,8
26566,Share-AFJ2w5,49.1,6
26567,Share-zerC1P,421.2,6
26568,Share-R3xKoa,356.4,10
26569,Share-36sPNc,241.3,6
26570,Share-NU2fo6,992.4,18
26571,Share-FjVDff,726.6,2
26572,Share-PpwFcI,695.4,13
26573,Share-nBRLcL,419.9,4
26574,Share-S1yBay,952.3,8
26575,Share-hL9C8G,545.6,6
26576,Share-R9qBQ8,616.3,17
26577,Share-jabOhc,288.3,1
26578,Share-AyNOCH,657.7,12
26579,Share-miCx0T,379.8,4
26580,Share-VCu42S,446.1,11
26581,Share-AarICX,650.3,3
26582,Share-RvshMS,125.7,18
26583,Share-S9d28z,469.1,13
26584,Share-jf3vew,722.0,17
26585,Share-Lq148T,462.7,14
26586,Share-JwFJeN,877.2,18
26587,Share-hIZPIv,251.7,16
26588,Share-YTZ5si,715.0,17
26589,Share-dA56yY,173.6,13
26590,Share-15pF5d,478.1,1
26591,Share-p2wJUY,985.3,1
26592,Share-M3C6Hv,800.5,13
26593,Share-UwJvcI,713.6,10
26594,Share-aKfsLC,496.3,13
26595,Share-tFHjKj,707.7,10
26596,Share-kc4O4u,642.0,11
26597,Share-lSBdXu,98.6,2
26598,Share-T0Osxr,728.6,12
26599,Share-c7Xct2,440.0,18
26600,Share-ghYy0Z,420.9,13
26601,Share-ZiLnJf,174.6,18
26602,Share-5hvwPG,213.2,10
26603,Share-cjsxL7,16.9,14
26604,Share-ajzfMM,578.5,11
26605,Share-5Nd34h,400.8,2
26606,Share-fYtkFh,606.1,7
26607,Share-zfyt5x,631.7,18
26608,Share-35C4lh,406.3,11
26609,Share-Y7z6cq,459.7,8
26610,Share-CDZeet,921.7,14
26611,Share-kWEpgc,540.9,12
26612,Share-p18M14,376.8,12
26613,Share-RqV6q4,938.6,8
26614,Share-GmlOaQ,183.8,7
26615,Share-xSCf35,940.7,13
26616,Share-9uPauU,994.3,15
26617,Share-Rg2n32,24.0,6
26618,Share-cgjwDg,289.8,11
26619,Share-AkT818,542.2,8
26620,Share-SfLz1C,863.4,4
26621,Share-8XAK4b,488.4,3
26622,Share-jRIuMR,473.4,4
26623,Share-vlLJ66,182.5,14
26624,Share-a24XZv,710.9,17
26625,Share-m1Keyu,880.1,11
26626,Share-3Pvr1z,609.5,10
26627,Share-L1kkRH,662.7,12
26628,Share-qhc9r0,469.4,6
26629,Share-ERHJKl,401.5,13
26630,Share-zTNxi0,421.7,2
26631,Share-bCNf2G,378.7,13
26632,Share-LzUag0,825.1,4
26633,Share-u9IWvo,312.0,13
26634,Share-uqKLHG,156.4,3
26635,Share-3Hq5Q7,172.7,3
26636,Share-CoeyHU,332.7,8
26637,Share-q9JyhQ,429.9,3
26638,Share-8QVZfJ,485.8,9
26639,Share-Q8iFBe,777.1,19
26640,Share-FrErIz,958.6,6
26641,Share-FcZWeV,707.7,8
26642,Share-EMOtvx,138.1,15
26643,Share-7juhOK,96.5,14
26644,Share-BqgQqR,172.3,17
26645,Share-ADK1qC,897.5,18
26646,Share-ZEgKaN,630.6,13
26647,Share-n17glX,923.4,2
26648,Share-2wAzHk,871.9,7
26649,Share-9wbq71,808.5,3
26650,Share-Dbe2Xj,929.6,12
26651,Share-VwaGaV,841.1,16
26652,Share-7w5Y6M,24.5,12
26653,Share-a7RGP6,784.8,17
26654,Share-kKAuhg,112.4,13
26655,Share-m3zlMk,632.9,8
26656,Share-Z1RA2V,544.9,6
26657,Share-CsbGCR,981.1,12
26658,Share-eqi2G7,825.6,14
26659,Share-IYcmPz,8.5,17
26660,Share-j26Jqx,321.7,1
26661,Share-fc9x9s,520.2,15
26662,Share-xZea3V,582.3,3
26663,Share-vRUj7X,997.9,7
26664,Share-920NSn,774.1,15
26665,Share-BcJ6Gy,349.8,9
26666,Share-mC8drc,507.9,5
26667,Share-5rLQqE,512.8,1
26668,Share-pTPLCh,882.1,3
26669,Share-XKyYwX,865.6,4
26670,Share-eQRuXj,241.6,6
26671,Share-hk8fYz,911.9,5
26672,Share-LgqibZ,653.0,8
26673,Share-gsWCo7,225.4,10
26674,Share-D2IiAA,662.1,8
26675,Share-YSCkKN,560.3,9
26676,Share-F1llAR,782.4,16
26677,Share-Rpjfc8,166.5,12
26678,Share-gK0JMV,441.2,3
26679,Share-bFtYcw,943.6,2
26680,Share-0W4LYY,160.6,4
26681,Share-nMGz58,566.0,16
26682,Share-56cZU1,811.3,4
26683,Share-LQreVq,335.5,5
26684,Share-nkE8TG,13.8,3
26685,Share-1xJzR1,594.5,8
26686,Share-03ghip,287.6,2
26687,Share-2vBUbn,359.0,4
26688,Share-gi1b89,416.1,13
26689,Share-PUSfb6,69.0,10
26690,Share-bjyN4y,540.3,19
26691,Share-QVGOhs,295.7,1
26692,Share-BdAhZy,814.9,9
26693,Share-HMb1k3,451.7,17
26694,Share-7tyGqK,251.9,5
26695,Share-zVeG3V,670.9,18
26696,Share-xdQPDp,368.0,13
26697,Share-rEjNW9,345.9,15
26698,Share-nyXHac,753.7,5
26699,Share-i1fltJ,335.2,1
26700,Share-nwPlMH,632.8,7
26701,Share-Z9ul9g,346.3,2
26702,Share-LcceA9,230.0,17
26703,Share-mkXeae,932.0,14
26704,Share-po0Kth,103.1,1
26705,Share-KspTVZ,775.3,16
26706,Share-5h7I80,305.5,16
26707,Share-cRnAxo,218.3,6
26708,Share-xtvOTf,45.6,15
26709,Share-CVph4e,535.1,17
26710,Share-gZv21Q,454.7,12
26711,Share-MQpGqX,683.9,3
26712,Share-bCXQvE,568.6,4
26713,Share-oJiEql,392.7,7
26714,Share-S4QJCQ,44.4,5
26715,Share-VkXbCU,112.7,8
26716,Share-QN7GVM,288.4,6
26717,Share-J1KLut,97.1,4
26718,Share-p1XoY9,226.4,8
26719,Share-LsJq6F,807.6,12
26720,Share-ZbAZvY,952.9,16
26721,Share-9gpA8l,663.2,11
26722,Share-Dz8dmj,99.9,1
26723,Share-CWPRPp,296.7,18
26724,Share-qWRfkj,58.1,3
26725,Share-CVDPwO,514.2,14
26726,Share-RQIisI,709.6,17
26727,Share-uPzHR6,773.9,8
26728,Share-K9lRv5,891.0,13
26729,Share-LFq8En,348.3,13
26730,Share-h2knXH,564.7,9
26731,Share-FZyz2G,952.1,12
26732,Share-yyikpG,807.7,12
26733,Share-ARAWz7,591.5,17
26734,Share-9mOME3,634.1,2
26735,Share-t9WRvU,483.3,1
26736,Share-oRdFW2,767.0,10
26737,Share-wkO2UY,73.0,7
26738,Share-1t21lv,11.2,3
26739,Share-uX6BZ4,211.7,14
26740,Share-z7FKpv,820.7,18
26741,Share-ekLMgN,146.9,3
26742,Share-J2Uio4,733.3,2
26743,Share-4ON9qK,402.6,14
26744,Share-04hHW5,814.7,5
26745,Share-iDa01Q,468.5,17
26746,Share-fuQXtJ,123.0,11
26747,Share-eqyeu3,91.3,9
26748,Share-MRgS9i,966.1,19
26749,Share-2FhmMY,909.0,3
26750,Share-7E67qu,434.1,1
26751,Share-BDwKfO,511.2,1
26752,Share-q8y4IL,321.9,9
26753,Share-KVd1sK,304.2,4
26754,Share-5i59TJ,264.0,19
26755,Share-qAtapu,557.5,18
26756,Share-SmtK6P,473.6,16
26757,Share-wzG6yJ,531.9,18
26758,Share-rbDMHC,996.6,2
26759,Share-YGQ6uy,710.8,7
26760,Share-XQQL5s,375.0,19
26761,Share-4rIgvP,883.2,13
26762,Share-ALnmNG,240.8,16
26763,Share-qe5URL,83.0,9
26764,Share-sRUSAJ,366.0,15
26765,Share-keAirs,656.9,3
26766,Share-OqMdge,657.7,16
26767,Share-1OxUnm,26.7,15
26768,Share-c3Jro9,859.4,17
26769,Share-Ctt7Km,12.4,8
26770,Share-LUz2V1,943.4,12
26771,Share-JdAfUk,548.2,10
26772,Share-rcHh66,347.5,6
26773,Share-MkQBda,766.5,1
26774,Share-cpEifs,369.8,7
26775,Share-DHgPK7,112.4,2
26776,Share-cC7z6Y,14.3,15
26777,Share-3fD8mW,170.9,12
26778,Share-FltyeU,667.0,19
26779,Share-TytauL,352.2,7
26780,Share-m2Eard,970.3,13
26781,Share-Cwx4P1,190.8,11
26782,Share-mBZu8u,423.2,5
26783,Share-I4j1cV,725.2,10
26784,Share-yRVBnD,861.6,18
26785,Share-yaSUzi,518.2,12
26786,Share-kCiYvB,141.3,14
26787,Share-3B5GSv,492.7,18
26788,Share-JY4hOM,505.8,4
26789,Share-l5uHG5,87.1,15
26790,Share-2flOex,996.3,10
26791,Share-8w9baj,949.3,14
26792,Share-gOSYdy,385.8,6
26793,Share-vWVJH3,763.4,7
26794,Share-kNbLLw,239.8,9
26795,Share-aDgcnO,665.1,13
26796,Share-6gyxTi,605.2,18
26797,Share-VLJY0q,92.7,4
26798,Share-gWeoQy,746.3,10
26799,Share-OC1O8x,342.4,13
26800,Share-zxJdIl,918.9,1
26801,Share-cO7P41,121.2,5
26802,Share-dxgUXa,891.9,17
26803,Share-Qhc1UR,940.1,12
26804,Share-TaT9vl,717.7,17
26805,Share-9LK0RF,558.3,11
26806,Share-42urvq,822.4,2
26807,Share-LO6yIx,344.6,11
26808,Share-g31sP0,225.5,7
26809,Share-cwILCw,890.3,2
26810,Share-ijIkDO,562.6,5
26811,Share-bEhGik,196.0,19
26812,Share-AgF1F5,566.5,17
26813,Share-S382yH,914.1,16
26814,Share-SnFv7q,984.0,3
26815,Share-WLYCqU,124.2,8
26816,Share-lohduj,59.1,18
26817,Share-KNFvtr,422.0,13
26818,Share-eFxdKC,449.8,17
26819,Share-LCrDP9,293.3,11
